title,address,image,link
Alain Ducasse at The Dorchester,"53 Park Ln, W1K 1QA",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/4fm7621nkf08l8hf.jpg,/restaurant/rdymty44ke965eye-alain-ducasse-at-the-dorchester-mayfair-london-halal-food-delivery-restaurant-menu
Banana Tree,"103 Wardour Street, W1F 0UG",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/1ctpqqmokvwgs4ci.jpg,/restaurant/rdymty36ke95zfku-banana-tree-soho-london-halal-food-delivery-restaurant-menu
Bedford Hotel,"83- 95 Southampton Row, WC1B 4HD",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/abpweokm6njh2q3.undefined,/restaurant/abpweokm6njh1i6-bedford-hotel-fitzrovia-london-halal-food-restaurant
Benares,"12a Berkeley Square, W1J 6BS",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/1dh2iol3n3ihlh.webp,/restaurant/cy3b9mol3lmiqvm-benares-mayfair-london-halal-food-delivery-restaurant-menu
Bunsik,"62 Charing Cross Road, WC2H 0BB",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/ju3qnksc5o11s.jpg,/restaurant/57jaankrqgcq0e-bunsik-leicester-square-london-halal-food-delivery-restaurant-menu
Chettinad,"16 Percy Street, W1T 1DT",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/3optkokzwl2r5r.jpg,/restaurant/fhyuokzkf119s-chettinad-fitzrovia-london-halal-food-delivery-restaurant-menu
Chick 'n' Sours,"1A Earlham Street, WC2H 9LL",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/1zljoktq8d3gj.jpg,/restaurant/2xun9aboktoqt65t-chick-n-sours-covent-garden-london-halal-food-delivery-restaurant-menu
Chotto Matte,"11-13 Frith Street, W1D 4RB",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/13hgadnks3p3bne.jpg,/restaurant/1d7dnkgwk5h36-chotto-matte-soho-london-halal-food-delivery-restaurant-menu
Clos Maggiore,"33 King Street, WC2E 8JD",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/3hh6nkrxejmhp.jpg,/restaurant/4wj38nkrwb2dpm-clos-maggiore-covent-garden-london-halal-food-delivery-restaurant-menu
Cottons,"Flagstaff House, SW8 2LE",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/s364bokuxphhiq.jpg,/restaurant/5bqed0okuwo43bz-cottons-vauxhall-london-halal-food-delivery-restaurant-menu
Coya,"118 Piccadilly, W1J 7NW",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/4wj38nkrwbiolx.jpg,/restaurant/4wj38nkrwb3lih-coya-mayfair-london-halal-food-delivery-restaurant-menu
Dave's Hot Chicken,"40 Shaftesbury Avenue, W1D 7ER",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/2t0l23km4g8pdjw.undefined,/restaurant/2t0l23km4g8pcbm-daves-hot-chicken-soho-london-halal-food-restaurant
Dishoom,"12 Upper St. Martin’s Lane, WC2H 9FB",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/1q717oksz6t9po.jpg,/restaurant/rdymty36ke95zkph-dishoom-covent-garden-london-halal-food-delivery-restaurant-menu
Donia,"Kingly Court Carnaby Street, W1B 5PW",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/1eqmzgklqf13d04.undefined,/restaurant/1eqmzgklqf13c0s-donia-carnaby-street-london-halal-food-restaurant
